社内品番,日付,ライン,品名,計画数,生産数,差異,シフト,休憩,段取,修理,鋸刃交換,ロス停止昼,ロス時間夜,見えないロス停止,計画停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率,設備記録時間１,設備記録時間2,60,,,実記録切断,差異,実記録面取,差異,面取段取り,,成形加工日
91001,4/2,切断03,HR3 ENCAP,"1,956","1,946",10,4.65,,0.03,,,,,0.45,,4.65 ,4.62 ,19.38%,99.35%,"1,946",421.2,,250.21,4.17,,,,,,,,,
,4/2,切断03,CH2 RR,610,610,,1.63,,0.20,,0.25,,,-0.06,,1.63 ,1.18 ,6.80%,72.44%,610,515.6,,74.46,1.24,,,,,,,,,
,4/2,切断04,500D RR,"1,680","1,680",,5.17,,,,0.25,0.25,,0.56,0.25,4.92 ,4.42 ,20.48%,89.83%,"1,680",380.4,,231.53,3.86,,,,,,,,,
,4/2,切断04,500D RR,"1,956","1,956",,5.77,,,1.00,0.25,,,0.54,,5.77 ,4.52 ,24.03%,78.32%,"1,956",433.1,,238.48,3.97,,,,,,,,,
92451,4/2,切断04,567D CTR,"2,608","2,608",,8.50,,0.17,1.42,0.25,,,0.53,,8.50 ,6.67 ,35.42%,78.45%,"2,608",391.1,,368,6.13,,,,,,,,,
92451,4/2,切断04,567D CTR,"1,906","1,906",,4.57,,0.05,,0.25,,,0.32,,4.57 ,4.27 ,19.03%,93.43%,"1,906",446.8,,236.5,3.94,,,,,,,,,
90311,4/2,切断05,3X45 対米 SIDE,950,950,,1.92,,,,,,,-0.04,,1.92 ,1.92 ,7.98%,100.00%,950,495.8,,117.5,1.96,,,,,,,,,
90311,4/2,切断05,3X45 対米 SIDE,"3,260","3,260",,7.00,,,,0.25,,,-0.45,0.25,6.75 ,6.50 ,28.13%,96.30%,"3,260",501.5,,417.26,6.95,,,,,,,,,
92591,4/2,切断05,554D CTR,"2,934","2,934",,8.23,,0.08,,0.25,,0.75,0.58,,8.23 ,7.15 ,34.30%,86.85%,"2,934",410.3,,394.24,6.57,,,,,,,,,
92591,4/2,切断05,554D CTR,"2,774","2,774",,6.85,,0.05,,0.25,,,0.42,,6.85 ,6.55 ,28.54%,95.62%,"2,774",423.5,,367.88,6.13,,,,,,,,,
91881,4/3,切断01,800B CTR,"1,404","1,404",,2.58,,,,,,,0.01,,2.58 ,2.58 ,10.76%,100.00%,"1,404",543.6,,154.1,2.57,,,,,,,,,
91881,4/3,切断01,800B CTR,"2,934","2,934",,5.50,,,,,,,-0.12,0.25,5.25 ,5.25 ,21.88%,100.00%,"2,934",558.9,,322.38,5.37,,,,,,,,,
92441,4/3,切断01,310D CTR,"2,934","2,934",,5.78,,,,0.25,,,0.19,,5.78 ,5.53 ,24.10%,95.68%,"2,934",530.3,,320.31,5.34,,,,,,,,,
92131,4/3,切断01,032D CTR,"3,260","3,260",,8.80,,0.35,,0.25,,0.67,0.54,0.75,8.05 ,6.78 ,33.54%,84.27%,"3,260",480.5,,374.4,6.24,,,,,,,,,
,4/3,切断01,410D FR1,392,392,,1.33,,0.17,,0.25,,,0.16,,1.33 ,0.92 ,5.55%,68.79%,392,427.5,,45.15,0.75,,,,,,,,,
91441,4/3,切断02,400B FR,292,292,,0.58,,,,,,,0.09,,0.58 ,0.58 ,2.43%,100.00%,292,500.9,,29.46,0.49,,,,,,,,,
91441,4/3,切断02,400B FR,"2,282","2,282",,4.83,,,,0.25,,,0.25,0.42,4.42 ,4.17 ,18.40%,94.34%,"2,282",547.6,,235,3.92,,,,,,,,,
